Number,Fuente,Author,Year,Title,Publication,Pages,Language
6906,WoS,"Martinez-Cabrera, Dorismilda; Terrazas, Teresa; Ochoterena, Helga; Lopez-Mata, Lauro",2010,BARK AND WOOD ANATOMY OF THE TRIBE HAMELIEAE (RUBIACEAE),,,en
6907,WoS,"Schnell, Gary D.; Gilland, Erin Abreu; Sanchez-Hernandez, Cornelio; de Lourdes Romero-Almaraz, Maria; Kennedy, Michael L.; Best, Troy L.; Wooten, Michael C.",2010,"Microhabitat preferences and spatial distribution of the vesper rat (<i>Nyctomys sumichrasti</i>) in Colima, Mexico",,,en
6908,WoS,"Alegria-Torres, J.; Baccarelli, A.",2010,Collaboration between centres of the World Health Organization. Italy supports a Mexican University,,,en
6909,WoS,"Gonzalez, Maria C.; Murueta-Figueroa, Nayeli; Medina-Ortiz, Cristina; Hanlin, Richard T.",2010,"New record of <i>Circinella muscae</i> from a hydrocarbon polluted sand beach of Tabasco, Mexico",,,en
6910,WoS,"Hernandez-Ledesma, Patricia; Flores Olvera, Hilda; Ochoterena, Helga",2010,Cladistic Analysis and Taxonomic Synopsis of <i>Anulocaulis</i> (Nyctaginaceae) Based on Morphological Data,,,en
6911,WoS,"Urdaneta, Ines; Sandoval, Lourdes; Palma, Alejandro",2010,On the algebraic approach to the time-dependent quadratic Hamiltonian,,,en
6912,WoS,"Green, D. S.; Young, J. K.; Hernandez-Camacho, C. J.; Gerber, L. R.",2010,Developing a non-invasive indicator of pinniped health: Neonate behavior and growth in California sea lions (<i>Zalophus californianus</i>),,,en
6913,WoS,"Mendoza-Rodriguez, Victor H.; Vega Rivera, Jorge H.; Medina-Montano, Irais; Campos-Cerda, Felipe",2010,RESPONSE OF BIRDS IN TROPICAL DECIDUOUS FOREST TO BROWN-HEADED COWBIRDS (<i>MOLOTHRUS ATER</i>),,,en
6914,WoS,"Frias-Alvarez, Patricia; Jaime Zuniga-Vega, J.; Parra-Olea, Gabriela",2010,UV-B radiation severely affects embryo development in the Mexican axolotl,,,en
6915,WoS,"Rodriguez-Velez, Beatriz; Ayala, Ricardo",2010,"Natural history of <i>Macrotera pipiyolin</i> (Hymenoptera: Andrenidae) in the Estacion de Biologia Chamela, Jalisco, Mexico",,,en
6916,WoS,"del Pilar Alonso-Reyes, Ma.; Luis Bortolini-Rosales, Jose; Alvarez, Fernando",2010,"Discriminant analysis applied to the sexual groups of <i>Potimirim mexicana</i>, a protandric hermaphrodite shrimp",,,en
6917,WoS,"Salceda, Victor M.; Guzman, Judith",2010,INVERSION CLINES IN NATURAL POPULATIONS OF <i>Drosophila pseudoobscura</i> FROM MEXICO,,,en
6918,WoS,"Yoshizawa, Kazunori; Garcia Aldrete, Alfonso Neri",2010,Description of a new species of the <i>Trichadenotecnum roesleri</i> species group from Brazil (Insecta: Psocodea: Psocoptera: Psocidae) and its phylogenetic implications,,,en
6919,WoS,"Tenorio-Colin, Guadalupe; Rodriguez-Estrada, Uriel; Uribe-Alcocer, Manuel; Diaz-Jaimes, Pindaro",2010,Phylogenetic relationships among five marine Catfish species (Pisces: Ariidae) from Mexico,,,en
6920,WoS,"Camargo-Gamboa, G.; Huerta-Quintanilla, R.; Rodriguez-Achach, M.",2010,Ecological competition and the role of an apex predator,,,en
6921,WoS,"Negrete Redondo, Pilar; Romero Jarero, Jorge; Cruz Garcia, Sandra; Guzman Lopez, Enrique",2010,"<i>Oedogonium capillare</i> (Linnaeus) (Kuetzing, 1845) as a strategy to purify live <i>Tubifex tubifex</i> (Muller, 1974) food for fish",,,en
6922,WoS,"Perez-Maldonado, M. T.; Monsivais, G.; Velasco, V.; Rodriguez-Ramos, R.; Stern, C.",2010,Electronic spectra of one-dimensional nano-quasi-periodic systems under bias,,,en
6923,WoS,"Barve, Narayani; Barve, Vijay; Jimenez-Valverde, Alberto; Lira-Noriega, Andres; Maher, Sean P.; Peterson, A. Townsend; Soberon, Jorge; Villalobos, Fabricio",2011,The crucial role of the accessible area in ecological niche modeling and species distribution modeling,,,en
6924,WoS,"Ramirez-Llodra, Eva; Tyler, Paul A.; Baker, Maria C.; Bergstad, Odd Aksel; Clark, Malcolm R.; Escobar, Elva; Levin, Lisa A.; Menot, Lenaick; Rowden, Ashley A.; Smith, Craig R.; Van Dover, Cindy L.",2011,Man and the Last Great Wilderness: Human Impact on the Deep Sea,,,en
6925,WoS,"Carmona, Diego; Lajeunesse, Marc J.; Johnson, Marc T. J.",2011,Plant traits that predict resistance to herbivores,,,en
6926,WoS,"Bonassi, Stefano; Coskun, Erdem; Ceppi, Marcello; Lando, Cecilia; Bolognesi, Claudia; Burgaz, Sema; Holland, Nina; Kirsh-Volders, Micheline; Knasmueller, Siegfried; Zeiger, Errol; Carnesoltas, Deyanira; Cavallo, Delia; da Silva, Juliana; de Andrade, Vanessa M.; Demircigil, Gonca Cakmak; Dominguez Odio, Anibal; Donmez-Altuntas, Hamiyet; Gattas, Gilka; Giri, Ashok; Giri, Sarbani; Gomez-Meda, Belinda; Gomez-Arroyo, Sandra; Hadjidekova, Valeria; Haveric, Anja; Kamboj, Mala; Kurteshi, Kemajl; Martino-Roth, Maria Grazia; Montero Montoya, Regina; Nersesyan, Armen; Pastor-Benito, Susana; Favero Salvadori, Daisy Maria; Shaposhnikova, Alina; Stopper, Helga; Thomas, Philip; Torres-Bugarin, Olivia; Yadav, Abhay Singh; Zuniga Gonzalez, Guillermo; Fenech, Michael",2011,"The HUman MicroNucleus project on eXfoLiated buccal cells (HUMN<sub>XL</sub>): The role of life-style, host factors, occupational exposures, health status, and assay protocol",,,en
6927,WoS,"Munguia-Rosas, Miguel A.; Ollerton, Jeff; Parra-Tabla, Victor; Arturo De-Nova, J.",2011,Meta-analysis of phenotypic selection on flowering phenology suggests that early flowering plants are favoured,,,en
6928,WoS,"Nadler, Steven A.; Perez-Ponce De Leon, Gerardo",2011,Integrating molecular and morphological approaches for characterizing parasite cryptic species: implications for parasitology,,,en
6929,WoS,"Lumbsch, H. Thorsten; Ahti, Teuvo; Altermann, Susanne; Amo De Paz, Guillermo; Aptroot, Andre; Arup, Ulf; Barcenas Pena, Alejandrina; Bawingan, Paulina A.; Benatti, Michel N.; Betancourt, Luisa; Bjoerk, Curtis R.; Boonpragob, Kansri; Brand, Maarten; Bungartz, Frank; Caceres, Marcela E. S.; Candan, Mehtmet; Luis Chaves, Jose; Clerc, Philippe; Common, Ralph; Coppins, Brian J.; Crespo, Ana; Dal-Forno, Manuela; Divakar, Pradeep K.; Duya, Melizar V.; Elix, John A.; Elvebakk, Arve; Fankhauser, Johnathon D.; Farkas, Edit; Ferraro, Lidia Itati; Fischer, Eberhard; Galloway, David J.; Gaya, Ester; Giralt, Mireia; Goward, Trevor; Grube, Martin; Hafellner, Josef; Hernandez M, Jesus E.; Herrera Campos, Maria De Los Angeles; Kalb, Klaus; Karnefelt, Ingvar; Kantvilas, Gintaras; Killmann, Dorothee; Kirika, Paul; Knudsen, Kerry; Komposch, Harald; Kondratyuk, Sergey; Lawrey, James D.; Mangold, Armin; Marcelli, Marcelo P.; Mccune, Bruce; Messuti, Maria Ines; Michlig, Andrea; Gonzalez, Ricardo Miranda; Moncada, Bibiana; Naikatini, Alifereti; Nelsen, Matthew P.; Ovstedal, Dag O.; Palice, Zdenek; Papong, Khwanruan; Parnmen, Sittiporn; Perez-Ortega, Sergio; Printzen, Christian; Rico, Victor J.; Plata, Eimy Rivas; Robayo, Javier; Rosabal, Dania; Ruprecht, Ulrike; Allen, Noris Salazar; Sancho, Leopoldo; De Jesus, Luciana Santos; Vieira, Tamires Santos; Schultz, Matthias; Seaward, Mark R. D.; Serusiaux, Emmanuel; Schmitt, Imke; Sipman, Harrie J. M.; Sohrabi, Mohammad; Sochting, Ulrik; Sogaard, Majbrit Zeuthen; Sparrius, Laurens B.; Spielmann, Adriano; Spribille, Toby; Sutjaritturakan, Jutarat; Thammathaworn, Achra; Thell, Arne; Thor, Goeran; Thues, Holger; Timdal, Einar; Truong, Camille; Tuerk, Roman; Umana Tenorio, Loengrin; Upreti, Dalip K.; Van den Boom, Pieter; Vivas Rebuelta, Mercedes; Wedin, Mats; Will-Wolf, Susan; Wirth, Volkmar; Wirtz, Nora; Yahr, Rebecca; Yeshitela, Kumelachew; Ziemmeck, Frauke; Wheeler, Tim; Luecking, Robert",2011,One hundred new species of lichenized fungi: a signature of undiscovered global diversity,,,en
6930,WoS,"Crone, Elizabeth E.; Menges, Eric S.; Ellis, Martha M.; Bell, Timothy; Bierzychudek, Paulette; Ehrlen, Johan; Kaye, Thomas N.; Knight, Tiffany M.; Lesica, Peter; Morris, William F.; Oostermeijer, Gerard; Quintana-Ascencio, Pedro F.; Stanley, Amanda; Ticktin, Tamara; Valverde, Teresa; Williams, Jennifer L.",2011,How do plant ecologists use matrix population models?,,,en
6931,WoS,"Fornoni, Juan",2011,Ecological and evolutionary implications of plant tolerance to herbivory,,,en
6932,WoS,"Hernandez-Hernandez, Tania; Hernandez, Hector M.; Arturo De-Nova, J.; Puente, Raul; Eguiarte, Luis E.; Magallon, Susana",2011,"PHYLOGENETIC RELATIONSHIPS AND EVOLUTION OF GROWTH FORM IN CACTACEAE (CARYOPHYLLALES, EUDICOTYLEDONEAE)",,,en
6933,WoS,"Pompa, Sandra; Ehrlich, Paul R.; Ceballos, Gerardo",2011,Global distribution and conservation of marine mammals,,,en
6934,WoS,"Toledo-Aceves, Tarin; Meave, Jorge A.; Gonzalez-Espinosa, Mario; Ramirez-Marcial, Neptali",2011,Tropical montane cloud forests: Current threats and opportunities for their conservation and sustainable management in Mexico,,,en
6935,WoS,"Gaut, Brandon; Yang, Liang; Takuno, Shohei; Eguiarte, Luis E.",2011,The Patterns and Causes of Variation in Plant Nucleotide Substitution Rates,,,en
6936,WoS,"Inderjit; Evans, Heather; Crocoll, Christoph; Bajpai, Devika; Kaur, Rajwant; Feng, Yu-Long; Silva, Carlos; Trevino Carreon, Jacinto; Valiente-Banuet, Alfonso; Gershenzon, Jonathan; Callaway, Ragan M.",2011,Volatile chemicals from leaf litter are associated with invasiveness of a Neotropical weed in Asia,,,en
6937,WoS,"Palacios, David; de Marcos, Javier; Vazquez-Selem, Lorenzo",2011,"Last Glacial Maximum and deglaciation of Sierra de Gredos, central Iberian Peninsula",,,en
6938,WoS,"Bryson, Robert W., Jr.; Omar Garcia-Vazquez, Uri; Riddle, Brett R.",2011,Phylogeography of Middle American gophersnakes: mixed responses to biogeographical barriers across the Mexican Transition Zone,,,en
6939,WoS,"Corradi, R. L. M.; Sabin, L.; Miszalski, B.; Rodriguez-Gil, P.; Santander-Garcia, M.; Jones, D.; Drew, J. E.; Mampaso, A.; Barlow, M. J.; Rubio-Diez, M. M.; Casares, J.; Viironen, K.; Frew, D. J.; Giammanco, C.; Greimel, R.; Sale, S. E.",2011,The Necklace: equatorial and polar outflows from the binary central star of the new planetary nebula IPHASX J194359.5+170901,,,en
6940,WoS,"Colchero, F.; Conde, D. A.; Manterola, C.; Chavez, C.; Rivera, A.; Ceballos, G.",2011,Jaguars on the move: modeling movement to mitigate fragmentation from road expansion in the Mayan Forest,,,en
6941,WoS,"Delgado-Salinas, Alfonso; Thulin, Mats; Pasquet, Remy; Weeden, Norm; Lavin, Matt",2011,<i>VIGNA</i> (LEGUMINOSAE) SENSU LATO: THE NAMES AND IDENTITIES OF THE AMERICAN SEGREGATE GENERA,,,en
6942,WoS,"Pruvost, Melanie; Bellone, Rebecca; Benecke, Norbert; Sandoval-Castellanos, Edson; Cieslak, Michael; Kuznetsova, Tatyana; Morales-Muniz, Arturo; O'Connor, Terry; Reissmann, Monika; Hofreiter, Michael; Ludwig, Arne",2011,Genotypes of predomestic horses match phenotypes painted in Paleolithic works of cave art,,,en
6943,WoS,"Rosas-Guerrero, Victor; Quesada, Mauricio; Armbruster, W. Scott; Perez-Barrales, Rocio; Smith, Stacey DeWitt",2011,INFLUENCE OF POLLINATION SPECIALIZATION AND BREEDING SYSTEM ON FLORAL INTEGRATION AND PHENOTYPIC VARIATION IN <i>IPOMOEA</i>,,,en
6944,WoS,"Soriano, Diana; Orozco-Segovia, Alma; Marquez-Guzman, Judith; Kitajima, Kaoru; Gamboa-de Buen, Alicia; Huante, Pilar",2011,Seed reserve composition in 19 tree species of a tropical deciduous forest in Mexico and its relationship to seed germination and seedling growth,,,en
6945,WoS,"Barranco, Juan; Bernal, Argelia; Carlos Degollado, Juan; Diez-Tejedor, Alberto; Megevand, Miguel; Alcubierre, Miguel; Nunez, Dario; Sarbach, Olivier",2011,Are black holes a serious threat to scalar field dark matter models?,,,en
6946,WoS,"Gugger, Paul F.; Gonzalez-Rodriguez, Antonio; Rodriguez-Correa, Hernando; Sugita, Shinya; Cavender-Bares, Jeannine",2011,"Southward Pleistocene migration of Douglas-fir into Mexico: phylogeography, ecological niche modeling, and conservation of 'rear edge' populations",,,en
6947,WoS,"Perez, Liseth; Bugja, Rita; Lorenschat, Julia; Brenner, Mark; Curtis, Jason; Hoelzmann, Philipp; Islebe, Gerald; Scharf, Burkhard; Schwalb, Antje",2011,"Aquatic ecosystems of the Yucatan Peninsula (Mexico), Belize, and Guatemala",,,en
6948,WoS,"Andersson, Cecilia K.; Andersson-Sjoland, Annika; Mori, Michiko; Hallgren, Oskar; Pardo, Annie; Eriksson, Leif; Bjermer, Leif; Lofdahl, Claes-Goran; Selman, Moises; Westergren-Thorsson, Gunilla; Erjefalt, Jonas S.",2011,Activated MC<sub>TC</sub> mast cells infiltrate diseased lung areas in cystic fibrosis and idiopathic pulmonary fibrosis,,,en
6949,WoS,"Kennedy, Peter G.; Garibay-Orijel, Roberto; Higgins, Logan M.; Angeles-Arguiz, Rodolfo",2011,Ectomycorrhizal fungi in Mexican <i>Alnus</i> forests support the host co-migration hypothesis and continental-scale patterns in phylogeography,,,en
6950,WoS,"Nance, Holly A.; Klimley, Peter; Galvan-Magana, Felipe; Martinez-Ortiz, Jimmy; Marko, Peter B.",2011,"Demographic Processes Underlying Subtle Patterns of Population Structure in the Scalloped Hammerhead Shark, Sphyrna lewini",,,en
6951,WoS,"Feng, Yu-Long; Li, Yang-Ping; Wang, Rui-Fang; Callaway, Ragan M.; Valiente-Banuet, Alfonso; Inderjit",2011,A quicker return energy-use strategy by populations of a subtropical invader in the non-native range: a potential mechanism for the evolution of increased competitive ability,,,en
6952,WoS,"Verdu, Miguel; Valiente-Banuet, Alfonso",2011,The relative contribution of abundance and phylogeny to the structure of plant facilitation networks,,,en
6953,WoS,"Arreguin-Sanchez, Francisco; Arcos-Huitron, Enrique",2011,Fishing in Mexico: state of exploitation and use of ecosystems,,,en
6954,WoS,"Wegier, A.; Pineyro-Nelson, A.; Alarcon, J. .; Galvez-Mariscal, A.; Alvarez-Buylla, E. R.; Pinero, D.",2011,Recent long-distance transgene flow into wild populations conforms to historical patterns of gene flow in cotton (<i>Gossypium hirsutum</i>) at its centre of origin,,,en
6955,WoS,"Agraz Hernandez, C. M.; Garcia Zaragoza, C.; Iriarte-Vivar, S.; Flores-Verdugo, F. J.; Moreno Casasola, P.",2011,"Forest structure, productivity and species phenology of mangroves in the La Mancha lagoon in the Atlantic coast of Mexico",,,en
6956,WoS,"Ordiano-Flores, Alfredo; Galvan-Magana, Felipe; Rosiles-Martinez, Rene",2011,"Bioaccumulation of Mercury in Muscle Tissue of Yellowfin Tuna, Thunnus albacares, of the Eastern Pacific Ocean",,,en
6957,WoS,"Smith, Brian Tilston; Escalante, Patricia; Hernandez Banos, Blanca E.; Navarro-Sigueenza, Adolfo G.; Rohwer, Sievert; Klicka, John",2011,"The role of historical and contemporary processes on phylogeographic structure and genetic diversity in the Northern Cardinal, <i>Cardinalis cardinalis</i>",,,en
6958,WoS,"Hamilton, Marcus J.; Davidson, Ana D.; Sibly, Richard M.; Brown, James H.",2011,Universal scaling of production rates across mammalian lineages,,,en
6959,WoS,"Conde, C.; Estrada, F.; Martinez, B.; Sanchez, O.; Gay, C.",2011,Regional climate change scenarios for Mexico,,,en
6960,WoS,"Smith, Matthew J.; Benitez-Diaz, Hesiquio; Africa Clemente-Munoz, Margarita; Donaldson, John; Hutton, Jon M.; McGough, H. Noel; Medellin, Rodrigo A.; Morgan, David H. W.; O'Criodain, Colman; Oldfield, Thomasina E. E.; Schippmann, Uwe; Williams, Richard J.",2011,Assessing the impacts of international trade on CITES-listed species: Current practices and opportunities for scientific research,,,en
6961,WoS,"Larsen, Frank W.; Londono-Murcia, Maria C.; Turner, Will R.",2011,"Global priorities for conservation of threatened species, carbon storage, and freshwater services: scope for synergy?",,,en
6962,WoS,"Parker, Eric T.; Cleaves, H. James; Callahan, Michael P.; Dworkin, Jason P.; Glavin, Daniel P.; Lazcano, Antonio; Bada, Jeffrey L.",2011,Prebiotic Synthesis of Methionine and Other Sulfur-Containing Organic Compounds on the Primitive Earth: A Contemporary Reassessment Based on an Unpublished 1958 Stanley Miller Experiment,,,en
6963,WoS,"Martinez-Martinez, M. U.; Abud-Mendoza, C.",2011,Predictors of mortality in diffuse alveolar haemorrhage associated with systemic lupus erythematosus,,,en
6964,WoS,"Astier, Marta; Speelman, Erika N.; Lopez-Ridaura, Santiago; Masera, Omar R.; Gonzalez-Esquivel, Carlos E.",2011,"Sustainability indicators, alternative strategies and trade-offs in peasant agroecosystems: analysing 15 case studies from Latin America",,,en
6965,WoS,"Granados-Sanchez, Diodoro; Sanchez-Gonzalez, Arturo; Granados Victorino, Ro Linnx; Borja de la Rosa, Amparo",2011,VEGETATION ECOLOGY OF THE CHIHUAHUAN DESERT,,,en
6966,WoS,"Aquila, V.; Hendricks, J.; Lauer, A.; Riemer, N.; Vogel, H.; Baumgardner, D.; Minikin, A.; Petzold, A.; Schwarz, J. P.; Spackman, J. R.; Weinzierl, B.; Righi, M.; Dall'Amico, M.",2011,MADE-in: a new aerosol microphysics submodel for global simulation of insoluble particles and their mixing state,,,en
6967,WoS,"Chaves, Oscar M.; Stoner, Kathryn E.; Arroyo-Rodriguez, Victor",2011,Seasonal Differences in Activity Patterns of GeoffroyiA?s Spider Monkeys (Ateles geoffroyi) Living in Continuous and Fragmented Forests in Southern Mexico,,,en
6968,WoS,"Renteria, Lyliana Y.; Jaramillo, Victor J.",2011,Rainfall drives leaf traits and leaf nutrient resorption in a tropical dry forest in Mexico,,,en
6969,WoS,"Ernesto Suarez-Mota, Mario; Luis Villasenor, Jose",2011,"The Compositae endemic to Oaxaca, Mexico: distribution and diversity",,,en
6970,WoS,"Calderon-Cortes, Nancy; Quesada, Mauricio; Escalera-Vazquez, Luis H.",2011,Insects as Stem Engineers: Interactions Mediated by the Twig-Girdler <i>Oncideres albomarginata chamela</i> Enhance Arthropod Diversity,,,en
6971,WoS,"Li, Ji-hong; Liu, Zhong-jian; Salazar, Gerardo A.; Bernhardt, Peter; Perner, Holger; Tomohisa, Yukawa; Jin, Xiao-hua; Chung, Shih-wen; Luo, Yi-bo",2011,Molecular phylogeny of <i>Cypripedium</i> (Orchidaceae: Cypripedioideae) inferred from multiple nuclear and chloroplast regions,,,en
6972,WoS,"Cerritos, Rene; Eguiarte, Luis E.; Avitia, Morena; Siefert, Janet; Travisano, Michael; Rodriguez-Verdugo, Alejandra; Souza, Valeria",2011,"Diversity of culturable thermo-resistant aquatic bacteria along an environmental gradient in Cuatro Ci,negas, Coahuila, M,xico",,,en
6973,WoS,"Cuevas, Erik; Zaldivar, Daniel; Perez-Cisneros, Marco; Ramirez-Ortegon, Marte",2011,Circle detection using discrete differential evolution optimization,,,en
6974,WoS,"Torres-Miranda, Andres; Luna-Vega, Isolda; Oyama, Ken",2011,"CONSERVATION BIOGEOGRAPHY OF RED OAKS (<i>QUERCUS</i>, SECTION <i>LOBATAE</i>) IN MEXICO AND CENTRAL AMERICA",,,en
6975,WoS,"Rosas, Fernando; Quesada, Mauricio; Lobo, Jorge A.; Sork, Victoria L.",2011,Effects of habitat fragmentation on pollen flow and genetic diversity of the endangered tropical tree <i>Swietenia humilis</i> (Meliaceae),,,en
6976,WoS,"Kim, Sin-Yeon; Velando, Alberto; Torres, Roxana; Drummond, Hugh",2011,"Effects of recruiting age on senescence, lifespan and lifetime reproductive success in a long-lived seabird",,,en
6977,WoS,"Bello-Bedoy, R.; Nunez-Farfan, J.",2011,The effect of inbreeding on defence against multiple enemies in <i>Datura stramonium</i>,,,en
6978,WoS,"Nakamura, Noriko; Amato, Katherine R.; Garber, Paul; Estrada, Alejandro; Mackie, Roderick I.; Gaskins, H. Rex",2011,"Analysis of the Hydrogenotrophic Microbiota of Wild and Captive Black Howler Monkeys (<i>Alouatta pigra</i>) in Palenque National Park, Mexico",,,en
